名称,位置,建面,销售状态,类型,价格
曲江芙蓉新天地,曲江池西路和唐城墙遗址公园区,,在售,商铺,28000
佳和中心,翠华路与会展东路交汇处西北角,,在售,商铺,13000
曲江华著中城,雁翔路与雁曲五路交汇处曲江大道东,,在售,商铺,0
金地九玺,曲江池西路与曲江池南路交汇处东北角（南湖畔）,建面 334~511m²,售罄,别墅,0
群贤道九號,南二环与群贤路交汇处向南300米,建面 147~219m²,在售,普通住宅,13000
高山流水和城,太白南路与丈八东路交汇处,建面 122~125m²,在售,普通住宅,10000
罗马景福城,丈八东路与丈八四路交汇处西北角,建面 49m²,在售,普通住宅,7800
逸翠园,锦业二路10号,建面 388m²,在售,别墅,19000
中建国熙台,科技路与团结南路十字西北角,建面 213~222m²,在售,普通住宅,14000
建邦华庭,科技六路与太白南路交汇处西南角,建面 152~181m²,在售,普通住宅,18000
中大国际九号,科技三路9号,建面 237~405m²,在售,普通住宅,39300
嘉禾广运,丈八五路与瞪羚路十字东南角,建面 93m²,在售,普通住宅,7800
鸿基新城,丈八北路和科技四路交汇处西北角,建面 86~88m²,在售,普通住宅,4300
晶鑫华庭,大寨路与沣惠南路十字向西200米路南,建面 64~136m²,在售,普通住宅,9000
坤元TIME,太白南路与电子三路交汇处路西,建面 97~131m²,在售,普通住宅,15000
满堂悦MOMA,锦业路与西三环交汇处西南角,,在售,普通住宅,8500
罗马西西里,丈八六路与西户公路交叉口西侧,建面 124~152m²,在售,普通住宅,6600
易道郡玫瑰公馆,丈八北路6号,建面 145~350m²,在售,普通住宅,13000
南飞鸿十年城,科技二路西段与西三环交汇东南角,建面 94~95m²,在售,普通住宅,9500
永和璞玉,丈八北路与科技四路十字向南50米路东,建面 47~225m²,在售,普通住宅,10000
高新尚居,西三环与科技八路交汇处东南角,建面 82m²,在售,普通住宅,4750
东方米兰国际城,富鱼路经十三路交汇处西南角,建面 176~209m²,在售,普通住宅,11000
绿地中心,锦业路与丈八二路十字,,在售,写字楼,20000
中铁西安中心,锦业一路与丈八一路交汇处东南角,,在售,写字楼,22000
CROSS万象汇,高新六路与科技一路十字东南角,,在售,写字楼,13000
摩尔中心,沣惠南路与科技六路交汇处,,在售,写字楼,12000
融城云谷,科技三路与沣惠南路交汇处往西200米,,在售,写字楼,12500
宝德云谷国际,锦业一路与丈八三路十字西北角,,在售,写字楼,11600
融城东海,南三环与丈八六路十字西南角,,在售,写字楼,8500
中投国际,锦业一路与丈八二路十字向东100米,,在售,写字楼,15000
荣禾云图中心,太白南路与电子二路交汇处东北角,建面 1300m²,在售,写字楼,9500
泰华金贸国际,沣惠南路与科技二路十字西南角,,在售,写字楼,13500
GT-Tower西安国际人才大厦,团结南路12号高新医院北侧,,在售,写字楼,15000
高新NEWORLD,团结南路与科技三路东北角,,在售,写字楼,10000
CA创意时代中心,科技二路与团结南路十字西南角,,在售,写字楼,14000
启迪清扬时代,科技二路与沣惠南路十字西北角,,在售,写字楼,10000
锦业时代,锦业路东段32号,,在售,写字楼,13500
高新大都荟,科技路与高新四路十字西北角,,在售,写字楼,12000
高科尚都,锦业路与丈八五路交汇处向北100米,,在售,写字楼,10000
汇豪树中心,沣惠南路与科技三路交汇处向西150米,,在售,写字楼,12000
睿中心,团结南路与唐兴路十字交汇处西南角,,在售,写字楼,15000
国瑞西安金融中心,锦业一路与丈八一路交汇处东南角,,在售,写字楼,0
天琴湾,创汇路34号,建面 90~120m²,在售,普通住宅,9900
风憬天下,西部大道与电子正街延伸段交汇处西南角,建面 65~95m²,在售,普通住宅,6800
国色天香,韦郭路989号陕师大长安校区正对面,建面 140~206m²,在售,普通住宅,9000
雅居乐湖居笔记,子午大道中段（西安邮电大学南880米）,建面 139m²,在售,普通住宅,11000
明威橡树湾,东仪路南段与西部大道交汇处西南角,建面 122~163m²,在售,普通住宅,9500
英郡年华国际社区,航天大道与神舟六路交汇处向南500米,建面 78~122m²,在售,普通住宅,8000
智慧新城,南长安街中段向南50米处（地铁2号线始发站韦曲南站站口）,建面 130~136m²,在售,普通住宅,6700
卡布奇诺观澜,雁塔南路与东长安街交汇处东北角，航天管委会南对面,建面 95~130m²,在售,普通住宅,6300
悦美国际,子午大道与西部大道十字西南角,建面 180m²,在售,普通住宅,8800
西安航天城,神州六路6号,建面 131~182m²,在售,普通住宅,4800
紫园sunny,航天大道与航天西路什字东南角,建面 51~114m²,在售,普通住宅,6300
盛世长安,郭杜北街与郭杜东街交汇处,建面 108m²,在售,普通住宅,7100
绿地城,子午大道中段邮电大学向南800米,建面 105~155m²,在售,普通住宅,16000
龙湖曲江畔,神舟四路与航创路十字东南角,建面 140~209m²,在售,普通住宅,16800
紫荆花园,电视塔向南四站长安花园十字向西500米,建面 134m²,在售,普通住宅,5400
子午美居,韦曲北街航天五〇四所北门对面,建面 49~107m²,在售,普通住宅,7200
早安林莊,郭杜南街198号 （长安国际企业总部南侧100米）,建面 136~156m²,在售,普通住宅,6300
永威高新紫园,草堂基地西太路以南,建面 256~268m²,在售,别墅,11000
楠香郡,航天大道与航天东路十字西南角,建面 92~142m²,在售,普通住宅,8000
国色天香,韦郭路989号陕师大长安校区正对面,,在售,底商,25000
龙湖花千树,航天经济技术开发区神舟四路与航创路十字东南角,,在售,底商,20000
合能公馆,西部大道与子午大道交汇处向南500米,,在售,商铺,30000
阳光天地,博士路与西部大道十字向南200米,,在售,写字楼,9200
融创天朗南长安街壹号,南长安街中段地铁二号线韦曲南站向南200米路东,建面 98~212m²,在售,普通住宅,9000
山水宅院,丰裕口转盘向西9公里路南,建面 352m²,在售,别墅,500
青城,东仪路南段西侧（韦曲建材街与东仪路交汇西北口）,建面 76~117m²,售罄,普通住宅,7800
华东万悦城,朝阳门外向东300米路南,建面 93~129m²,在售,普通住宅,8500
万科金域东郡,东二环与北二环交汇处东南角,建面 130~271m²,在售,普通住宅,11000
上上墅,矿山路中段,建面 32~53m²,在售,普通住宅,13000
巴黎大厦,酒十路与米秦路十字西南角,建面 147~172m²,在售,普通住宅,5500
臻园阳光,纺织城正街449号,建面 123~131m²,在售,普通住宅,5900
林邑,二环北路与二环东路交汇处（辛家庙地铁站向东300米）,建面 72~114m²,在售,普通住宅,8200
中铁缤纷新城,纺西街108号（原西北国棉六厂）,建面 119m²,在售,普通住宅,6000
上东大道,东二环矿山路十字东南角,建面 48~51m²,在售,普通住宅,6000
兴庆宫,兴庆公园北门（新廓门33号）,建面 69~164m²,在售,普通住宅,10000
恒基碧翠锦华,金花北路299号（胡家庙十字东北角）,建面 101~105m²,在售,普通住宅,11000
翰骊国际,幸福南路与西影路东段交汇处,建面 51~82m²,在售,普通住宅,6300
半坡国际广场,长乐路与东三环交汇口堡子村转盘,建面 82~140m²,在售,普通住宅,6700
华清学府城,幸福南路与建工路交汇处（千亩幸福林带以东）,建面 86~136m²,在售,普通住宅,7600
林河春天,纺渭路与纺北路十字向南200米,建面 81~124m²,在售,普通住宅,5600
天香心苑,玄武东路与东二环十字东南角(矿山路以北),建面 85~113m²,在售,普通住宅,7500
科达东御兰汀,东二环石家街转盘向北50米,建面 147m²,在售,普通住宅,8300
学府首座,兴庆路南段,建面 72m²,在售,普通住宅,8300
紫郡观澜,酒十路路西，米秦路路北,建面 54~95m²,在售,普通住宅,7000
中铁缇香郡,广运潭大道与矿山路交汇东南处,建面 95~103m²,在售,普通住宅,6900
华远海蓝城,东二环玄武东路中段,建面 83~130m²,在售,普通住宅,9500
新兴新庆坊,互助路66号,建面 39m²,在售,普通住宅,9000
华旗东郡,兴工东路和公园北路十字交汇处,建面 103~140m²,在售,普通住宅,6000
阳光香榭,灞桥区纺织城地铁站向南400米（五十五中东邻）,建面 95~136m²,在售,普通住宅,5500
兰蒂斯城,兴庆路中段,建面 146m²,在售,普通住宅,9000
海棠华府,纺渭路与纺建路十字西南角,建面 176m²,在售,普通住宅,5600
天时新苑,东二环和胡家庙十字向东300米,建面 80~111m²,在售,普通住宅,8200
朝阳国际广场,长乐西路166号,建面 118~141m²,在售,普通住宅,8600
就掌灯,金花北路六号,建面 148m²,在售,普通住宅,20000
朝阳新世界,朝阳门外长乐西路1号,建面 120~158m²,在售,写字楼,8500
天伦佐治公馆,东二环胡家庙地铁站北500米,建面 47~117m²,在售,普通住宅,8200
融创天朗臻园,丈八北路与昆明路十字向西约200米路北,建面 97~130m²,在售,普通住宅,10500
绿地国际花都,科技路西段富鱼路与西三环交汇处,建面 82~167m²,在售,普通住宅,9300
铭城国际社区,大寨路与丈八北路十字向西500米处,建面 144~188m²,在售,普通住宅,9000
海伦春天,大庆路延伸段阿房一路东段,建面 193~221m²,在售,别墅,13000
金辉C园,大兴东路中段（红庙坡向西700米路北）,建面 94~136m²,在售,普通住宅,9600
水润坊,大庆路西延伸线阿房一路东段路南,建面 129~216m²,在售,普通住宅,6500
伊顿公馆,友谊西路白庙路99号,建面 147m²,在售,普通住宅,13500
御溪书院,丰庆路39号,建面 40~123m²,在售,普通住宅,6300
御溪望城,丰庆路39号,建面 40~117m²,在售,普通住宅,8200
中航华府,丈八路与大寨路十字向西800米,建面 77~128m²,在售,普通住宅,8300
亿润领城,大庆西路81号,建面 79~117m²,在售,普通住宅,8200
乔布斯公馆,大兴新区梨园路和生国际东邻,建面 38~79m²,在售,普通住宅,10500
铜雀台,西二环与丰镐东路十字向东200米,建面 118~126m²,在售,普通住宅,9500
万国远鉴名筑,枣园西路219号,建面 44~125m²,在售,普通住宅,6400
华洲城熙悦都,大寨路西口向西100米,建面 91~147m²,在售,普通住宅,6800
西旅逸都,沣东新城三桥街道车刘村,建面 44~148m²,在售,普通住宅,6100
华洲城天峰,大寨路与丈八北路向西500米,建面 76~115m²,在售,普通住宅,7500
阳光台365,大白杨路与桃园北路交汇处,建面 54~118m²,在售,普通住宅,8500
宏府麒麟山,丈八北路和大寨路十字西300米处,,在售,普通住宅,8300
丽苑山水,劳动路与团结东路交汇处西北角,建面 90~125m²,在售,普通住宅,8000
春晓华苑,团结西路36号,建面 75m²,在售,普通住宅,6700
开远半岛广场,土门坊和沣惠南路交汇处北侧,建面 88~148m²,在售,普通住宅,7500
大兴九臻,大兴东路18号,建面 81~156m²,在售,普通住宅,10000
双府新天地,西二环任家口站路西300米,建面 89m²,售罄,普通住宅,6500
天健望湖大观,西二环与梨园路十字东南角,建面 97~121m²,在售,普通住宅,7000
御笔华庭,红庙坡十字向西300米路北,建面 38~77m²,在售,普通住宅,7500
梧桐年华,阿房路与阿房一路交汇处向北200米,建面 136m²,在售,普通住宅,7500
尚邦25时区,西门外环城路向北50米,建面 43~83m²,在售,普通住宅,9300
黎明风和庭院,西二环与丰禾路交汇处向东500米,建面 73~119m²,在售,普通住宅,5700
恒大翡翠华庭,大庆路与枣园南路交汇处南,建面 51~130m²,在售,普通住宅,10000
阳光台365,大白杨路与桃园北路交汇处,建面 218~261m²,在售,别墅,16500
天朗大兴郡,西二环与纬二十六街西南角,,在售,商铺,11000
融创天朗臻园,丈八北路与昆明路十字向西约200米路北,,在售,写字楼,10000
旭弘同德国际,汉城南路与团结西路西南角,,在售,写字楼,8000
海伦春天,大庆路延伸段阿房一路东段,建面 69~142m²,在售,普通住宅,7300
大兴新悦城,西二环与大兴西路交汇处向西1000米,,售罄,普通住宅,5500
和平春天,红光路和平村和平大道路西,建面 88~206m²,在售,普通住宅,7000
天伦御城龙脉,南二环铁一中北门,建面 82~146m²,在售,普通住宅,9800
中贸广场,南关正街与友谊路十字路口向北280米路西,建面 91~137m²,在售,普通住宅,14500
海亮新英里,西沣路与雁环路交汇处东南角（西安高新国际学校对面）,建面 132~136m²,在售,普通住宅,10000
丰硕佳园,丈八东路与子午大道十字向南,建面 60m²,在售,普通住宅,3890
中铁立丰城市生活广场,丈八东路与子午大道十字西南角,建面 32~87m²,在售,普通住宅,12000
新旅城,建设西路323医院对面,,在售,普通住宅,7300
澳城大厦,长安南路86号,建面 43~139m²,在售,普通住宅,6800
华龙太乙城,太乙路立交东北角,建面 73~139m²,在售,普通住宅,9500
九锦台,含光北路23号,建面 245~440m²,在售,普通住宅,12000
九锦一号,含光北路23号,建面 37~78m²,在售,普通住宅,9000
哈佛印象,太乙路与友谊东路十字西南角,建面 80m²,在售,普通住宅,7850
新长城,太白路立交东南角,建面 65~99m²,在售,普通住宅,11000
高新第五季,西万路与锦业二路丁字东北角,建面 121~140m²,在售,普通住宅,8500
融尚中央住区,朱雀大街与青松路十字西南角,建面 38~67m²,在售,普通住宅,8500
金地西沣公元,西沣路与西部大道十字向东1000米,建面 164m²,在售,普通住宅,9500
铭城16号,丈八东路16号,建面 147~163m²,在售,普通住宅,7700
绿地悦公馆,西影路与西延路十字东北角,建面 34~63m²,在售,普通住宅,10000
敬业大厦,文艺北路陕西省歌舞剧院旁,建面 61~126m²,在售,普通住宅,8800
MOMOPARK,小寨西路与含光路交汇处向东50米,建面 143m²,在售,普通住宅,12000
莱安中心,长安路与雁展路交汇处东北角,,在售,写字楼,12000
海亮新英里,西沣路与雁环路交汇处东南角（西安高新国际学校对面）,,在售,商铺,26000
南飞鸿广场,南三环与朱雀大街十字东南角,,在售,写字楼,14000
合能朱阙,朱雀大街72号,,在售,写字楼,8500
宏信国际花园,南门广场东100米,建面 38~148m²,售罄,普通住宅,11500
恒大国际城,尚稷路与尚宏路交汇处,建面 225m²,在售,普通住宅,9800
紫郡华宸,未央宫街办朱宏路南段,建面 42m²,在售,普通住宅,6000
名京九合院,未央路公交六公司对面未央大道西侧100米,建面 137m²,在售,普通住宅,9200
白桦林明天,大明宫国家遗址公园东南侧,建面 288~410m²,在售,普通住宅,20000
珠江新城,北二环东段御井路1606号,建面 51~73m²,在售,普通住宅,3750
荣民宫园中央,未央路与玄武路十字东南角200米,建面 118m²,在售,普通住宅,12000
中航樾公馆,未央路与玄武路交汇处向东约500米路北,建面 175m²,在售,普通住宅,12000
中国铁建西派国际,太华路与北二环十字东南角,建面 193m²,在售,普通住宅,16000
正尚盛世家合,凤城五路与太华路十字西北角,建面 44m²,在售,普通住宅,4000
兴盛园MOMA公寓,凤城五路与贞观路十字东南角,建面 49m²,在售,普通住宅,7300
万达公馆,北二环与太华北路交汇处向北200米,建面 230~290m²,在售,普通住宅,13000
绿地香树花城,东北二环交汇处红星美凯龙北侧200米,建面 73~275m²,在售,普通住宅,7500
明丰阿基米德,明光路与元朔路十字东南角,建面 134m²,在售,普通住宅,6700
天丰东环广场,矿山路十字西南角向南200米,建面 141~151m²,在售,普通住宅,6800
上和郡,石家街东园西路11号,建面 83m²,在售,普通住宅,7350
泽星雅龙湾,大兴新区朱宏路与方新路十字向东200米,建面 134m²,在售,普通住宅,6500
恒大帝景,凤城五路与太华路十字东500米,建面 90~136m²,在售,普通住宅,9700
红星美凯城,北辰大道与凤城一路交汇处,建面 92~154m²,在售,普通住宅,7700
紫薇东进,大明宫国家遗址公园旁含元路东600米（八府庄北路）,建面 85~128m²,在售,普通住宅,7500
碧桂园天玺,北二环与御井路交汇处向北500米,建面 94~140m²,在售,普通住宅,9200
时代SOHO,油库街18号,建面 79~127m²,在售,普通住宅,7800
唐樾六和坊,大明宫遗址公园东侧1000米,建面 119~158m²,在售,普通住宅,9700
华浮宫桂园,环湖西路与湖滨路西北角,建面 113~266m²,在售,普通住宅,6900
新福兴纽约城,北二环与朱宏路十字向南500米路东,建面 129m²,在售,普通住宅,8200
华远枫悦,凤城五路与太华路十字向东400米路北,建面 90~125m²,在售,普通住宅,9000
利君未来城,北辰立交西南侧（梁家堡附近）,,在售,普通住宅,4500
经发新北居,文景路与尚稷路交汇处东南角,建面 62~88m²,在售,普通住宅,3450
泽星大厦,朱宏路与梨园路十字向北200米路东,建面 183~209m²,在售,普通住宅,7500
倚能维兰德小镇,阳光大道未央湖游乐园对面,建面 256~292m²,在售,普通住宅,6500
隆源国际城,尚新路与尚贤路交汇处（北客站东900米）,,待售,普通住宅,7200
辰宫双河湾,湖滨路与辛王路交汇处（未央湖东）,建面 57~131m²,在售,普通住宅,5500
坚果公寓,三府湾客运站向东300米（华清西路北侧）,建面 35m²,在售,普通住宅,6800
锦舍公寓,凤城一路东段168号,建面 82~120m²,在售,普通住宅,9500
中天锦庭,太华路银河坊向东200米,建面 86~226m²,在售,普通住宅,7000
华帝金座,北二环与贞观路交汇处东北角,,在售,写字楼,8600
金科天籁城,太华北路与凤城二路十字东侧万达广场旁,,在售,商铺,35000
龙记玖玺,未央路延伸段（西铜高速）以东500米,建面 85~117m²,在售,普通住宅,6350
新福兴纽约城,北二环与朱宏路十字向南500米路东,,在售,底商,15000
华远锦悦中心,太华北路大明宫万达北200米,,在售,写字楼,9000
百寰国际,北二环太华路立交东北角,,在售,写字楼,12000
皇城九号,自强西路68号（纸坊村十字向西50米）,建面 42~146m²,在售,普通住宅,7500
80年代,东二环与东元路的交叉口,,售罄,普通住宅,6800
星雨华府,尚苑路与朱宏路交汇处西南角,,售罄,普通住宅,6500
湾流,欧亚大道，灞河东岸,建面 370~395m²,在售,别墅,17000
陆港金海岸,西滨大道1号,建面 163~206m²,在售,普通住宅,12000
融创天朗融公馆,长鸣路与南三环交汇处向东300米路北,建面 258m²,在售,别墅,350
紫楹台,灞桥生态湿地公园柳烟路与柳新路交汇处,建面 692~1000m²,在售,别墅,3200
中海悦墅,浐灞一路以北、广运潭大道西侧,建面 178m²,在售,别墅,360
自然界城墅,浐河东路中段（欧亚大道与浐河东路十字向南1公里）,建面 242~310m²,在售,普通住宅,14000
龙湖源著,北辰大道与浐灞一路交汇处向东800米,建面 142~251m²,在售,普通住宅,13000
普华浅水湾,柳烟路（灞河公园西邻）,建面 79~195m²,在售,普通住宅,8000
万象湾,纺渭路与柳新路十字东南角(铁一中滨河校区对面）,,在售,普通住宅,6800
中铁琉森水岸,东城大道灞桥湿地公园里,建面 129m²,在售,普通住宅,7800
绿地与湖,雁鸣湖浐河西路,建面 232~290m²,在售,别墅,18500
御锦城时代ICON,浐河东岸东三环与长乐东路交汇处西北角,建面 79~143m²,在售,普通住宅,7200
振业泊公馆,广安路800号,建面 160~206m²,在售,普通住宅,8500
香江湾,灞河西路向东南500米,建面 153m²,在售,普通住宅,14000
御锦城九珑湾,长乐东路与浐河交汇处地铁1号线浐河站,建面 80~115m²,在售,普通住宅,7600
富力白鹭湾,灞柳一路与纺园五路十字东南角,建面 86~103m²,在售,普通住宅,7000
自然界,浐灞大道浐河东200米,建面 92m²,在售,普通住宅,8700
枫林九溪,迎宾大道西侧,建面 88~174m²,在售,普通住宅,8000
高科绿水东城,纺渭路与席王路十字北1公里路西,建面 134~137m²,在售,普通住宅,6800
滨水花城,广运潭大道向东100米,建面 84~103m²,在售,普通住宅,5100
广厦水岸东方,长乐路浐河东岸地铁1号线浐河站A1出口,建面 185m²,在售,普通住宅,5700
恒大御龙湾,南三环与长鸣路十字向南300米路东,建面 80~179m²,在售,普通住宅,9500
浐灞1号,东二环北延伸线与浐灞大道交汇处,建面 31~94m²,在售,普通住宅,8000
冠昌金域湾畔,浐河东路桃花潭东侧200米,建面 148~286m²,在售,普通住宅,9000
颐馨湿地壹號,秦汉大道与灞河东路交汇处向北200米,建面 81~92m²,在售,普通住宅,5200
高科麓湾国际社区,浐河东路南端(雁鸣湖东岸),,待售,普通住宅,6500
东城国际,纺渭路与灞瑞二路交汇处,建面 125m²,在售,普通住宅,6300
灞业大境,长乐东路地铁一号线长乐坡站向南500路西,建面 46~89m²,在售,普通住宅,5900
天朗蔚蓝东庭,广运潭大道以西，浐灞二路以北,建面 93~98m²,在售,普通住宅,9500
荣德棕榈阳光,浐灞一路与北郊路十字东北角（北辰大道以东）,建面 75~183m²,在售,普通住宅,8600
永泽五里州,纺织城地铁站向北500米处,建面 140m²,在售,普通住宅,6400
长乐府,地铁一号线长乐坡站路南200米,建面 138m²,在售,普通住宅,6700
西港碧水湾,西航花园向北500米处秦汉大道北,建面 91~125m²,在售,普通住宅,5200
香榭水岸,灞柳一路与纺园三路交汇处,建面 70~118m²,在售,普通住宅,5500
华阳玲珑苑,纺渭路与长乐东路十字西北角,建面 101~110m²,在售,普通住宅,6600
振业泊岸,世博大道以东,建面 135~191m²,在售,普通住宅,11500
桃源漫步,金桥三路与浐河东路东南角（桃花潭公园东60米）,建面 116~203m²,在售,普通住宅,12000
龙湖源著,北辰大道与浐灞一路交汇处向东800米,,在售,商铺,17000
雁鸣墅语,咸宁路与浐河西路什字南雁鸣湖畔,建面 896m²,在售,别墅,17000
合能十里锦绣,东三环与半引路南端交汇处,,在售,商铺,15000
东城新一家TT国际,灞桥区新寺纺渭路与纺北路十字口东北角,,在售,写字楼,7400
西安华南城,国际港务区港务大道8号,,在售,商铺,14000
紫楹台,灞桥生态湿地公园柳烟路与柳新路交汇处,建面 221~332m²,在售,普通住宅,12000
龙腾万都汇,长乐中路长田路中段,建面 82m²,售罄,普通住宅,6200
腾业国王镇,纺渭西路十字往北50米,,售罄,普通住宅,5800
紫薇花园洲,世博大道与欧亚大道十字向东500米,,售罄,别墅,13500
雁鸣墅语,咸宁路与浐河西路什字南雁鸣湖畔,建面 241~243m²,售罄,普通住宅,9700
世园大公馆,世博大道与东三环交汇处向东800米,,售罄,别墅,15000
世园大公馆,世博大道与东三环交汇处向东800米,,售罄,普通住宅,6200
白桦林间,明光路与凤城九路交会处西南角,建面 130~140m²,在售,普通住宅,20000
国金华府,凤城八路与文景路十字交汇处西南角,建面 180~220m²,在售,普通住宅,13000
首府尚苑,凤城八路东段政务中心北200米路西,建面 56~147m²,在售,普通住宅,7200
西安印象,未央路和凤城九路十字东南角,建面 226m²,在售,普通住宅,0
贰号大院,凤城七路与永徽路十字西北角（未央路以东）,建面 163m²,在售,普通住宅,9500
赛高悦府,未央路与凤城七路十字西侧,建面 201~303m²,在售,普通住宅,15000
汇通太古城,凤城十二路与文景路交汇处向东150米,建面 129~178m²,在售,普通住宅,8000
九如御,凤城十路地铁运动公园站向东100米路北,建面 49~125m²,在售,普通住宅,6200
首创漫香郡,凤城十一路北文景路以东,建面 139~300m²,在售,普通住宅,14000
双威理想城,未央路178号（未央大道与凤城七路交汇处西南角）,建面 43~153m²,在售,普通住宅,8100
凤城一号,凤城一路与文景路十字东北角,建面 62m²,在售,普通住宅,5950
凤城九号,凤城九路与未央路交汇处,建面 72~173m²,在售,普通住宅,9000
三丰中心思想,凤城八路与凤新路交汇处向南200米处,建面 119~122m²,在售,普通住宅,7800
鼎正大都城,凤城八路与朱宏路十字东南角,建面 141~142m²,在售,普通住宅,9000
开元第一城,凤城九路与明光路十字向西300米,建面 166~224m²,在售,普通住宅,8300
旭景清园,未央路地铁2号线城市运动公园站D出口向北100米,建面 109~131m²,在售,普通住宅,9500
正尚国际金融广场,凤城八路与未央路十字东南角,,在售,写字楼,15000
一方中港国际,文景路与凤城十二路交汇处向北200米路西,,在售,写字楼,9000
首创富北高银,凤城十二路和文景路十字北200米路东,,在售,写字楼,7500
蓝海风中心,凤城二路37号,,在售,写字楼,13500
长和国际,凤城八路与明光路十字东南角,,在售,写字楼,10000
西北国金中心,凤城八路与文景路十字路西,,在售,写字楼,12000
城市锦上,凤城一路与明光路十字向西50米,,售罄,普通住宅,7700
麟凤尊汇,凤城六路与开元路十字西北角,,售罄,普通住宅,8000
陈杨新界,世纪大道与郑国路十字向南100米,建面 95~125m²,在售,普通住宅,3500
沣渭怡心岛,二号桥南英伦沣景西侧100米,建面 93~141m²,在售,普通住宅,4500
枫丹丽舍,秦汉新城兰池大道西段,建面 171~210m²,在售,别墅,11500
同德佳苑,同德路以西统一路以南秦皇大道以东,建面 96m²,在售,普通住宅,4700
春城十八里,秦汉新城兰池大道西段,建面 210~306m²,在售,别墅,450
中建昆明澜庭,富鱼路西段路南,建面 130~143m²,在售,普通住宅,9700
卢卡小镇,泾河新城秦汉大道西侧,建面 174m²,在售,别墅,130
奥林匹克花园,绕城高速与世纪大道交汇处西北角,,待售,普通住宅,6300
亿龙金河湾,世纪大道蓝马啤酒场环岛北200米,建面 175m²,在售,普通住宅,5500
白桦林印象,世纪大道与桃李路交汇处西南角,建面 96~130m²,在售,普通住宅,6500
佳龙大沃城,世纪大道与上林路十字东南角,建面 75~109m²,在售,普通住宅,5300
星河湾,秦汉新城兰池大道中段,建面 134~376m²,在售,普通住宅,13000
中建开元城,地铁一号线三桥站路北,建面 74~124m²,在售,普通住宅,6700
阳光城壹号西西里,"世纪大道中段北边沣太八路以南,沣太二路以东",建面 78~118m²,在售,普通住宅,6900
金科世界城,世纪大道与同文路十字向南600米,建面 76~127m²,在售,普通住宅,5000
秦岭北麓,秦汉新城兰池大道15号,建面 89~235m²,在售,普通住宅,6000
先河国际社区,世纪大道西段陈阳寨转盘向西1000米,,在售,普通住宅,3900
国润城,上林路与世纪大道交汇处十字西南角,建面 79~107m²,在售,普通住宅,8000
荣华宝格丽小镇,迎宾大道与天工一路交汇处向东300米处,建面 165~187m²,在售,别墅,9500
林凯城,秦皇路一号桥南陈阳寨转盘东北角,建面 79~133m²,在售,普通住宅,5800
华府御园,世纪大道西段三号桥南咸阳立交桥西侧,建面 115~125m²,在售,普通住宅,4300
